ID,Type,ActorName,Face,Speech
1_Start_1,Standard,쿠말,2,어서 오시게! 한참을 기다리고 있었네! 오는데 불편함은 없었나?
1_Start_2,Standard,Player,0,괜찮아요…. 근데 누구시죠?
1_Start_3,Standard,쿠말,3,내가 우주선을 보낸 사람일세.
1_Start_4,Ask,Player,0,왜 뿌듯하다는 듯이 말씀하시죠? 여긴 어딘데요? 아….. 안 궁금해요. 빨리 다시 돌려보내 줘요.
1_Start_5,Ask,Player,0,뭔가 홀린 듯 기억이 없는데.. 제가 어디로 온 거죠?
1_Start_6,Answer_End,쿠말,1,"허허, 젊은 친구가 당돌하구먼. 진정하고 여기는 수많은 별자리 중 하나인 양자리일세."
1_Start_7,Answer_End,쿠말,1,수많은 별자리 중 하나인 양자리일세.
1_Start_8,Standard,Player,0,제가 왜 양자리에 와있죠?
1_Start_9,Standard,쿠말,1,우주선에게 선택을 받아 도착한걸세. 선택받은 당신은 이름이 무엇인가?
1_Start_10,Standard,Player,0,_Player_입니다.
1_Start_11,Standard,쿠말,1,"그래, _Player_. 최근에 별자리가 틀어졌다는 사실을 깨닫지 않았나?"
1_Start_12,Ask,Player,0,그걸…. 어떻게 아세요?
1_Start_13,Ask,Player,0,(모르는 척) 별자리가 틀어졌어요?
1_Start_14,Answer_End,쿠말,1,121년 전에 내려왔던 예언이 있었지.
1_Start_15,Answer_End,쿠말,1,알고 있다는 것을 알고 있네. 그러니 우주선에게 선택을 받았겠지. 장난치지 말게나.
1_Start_16,Standard,쿠말,1,별자리가 틀어지면서 모든 별자리에서 이상 현상들이 나타나기 시작했네.
1_Start_16,Standard,쿠말,1,자연재해부터 알 수 없는 현상까지 셀 수 없네.
1_Start_16,Standard,쿠말,1, 이대로라면 정말 모든 별자리들이 멸망하고 말걸세.
1_Start_17,Standard,쿠말,1,원래 우리 양자리는 양털을 수출해 개발도상국에서 선진국까지 성장하였었네.
1_Start_17,Standard,쿠말,1,심지어는 못 사는 별자리에 양털을 기부까지 했던 잘나가는 별자리였지….
1_Start_18,Standard,쿠말,1,하지만 별자리가 틀어지고 나서부터 이상 현상이 일어났네.
